year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2011,8,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",248,49,30.71,0.43,6.01,0,11.86,3,1,2544,1545,15,206,0,778
2011,8,AA,American Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",53,30,10.72,0.83,6.51,0,11.94,0,0,2140,970,76,217,0,877
2011,8,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",456,107,50.29,6.28,21.03,0,29.41,20,1,4716,2148,269,818,0,1481
2011,8,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",708,134,70.22,3.49,24.96,0,35.33,10,0,7730,4049,369,1106,0,2206
2011,8,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",155,51,12.47,3.44,12.65,0,22.44,9,1,2600,556,168,453,0,1423
2011,8,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",92,13,9.29,0,1.27,0,2.44,9,0,454,258,0,57,0,139
2011,8,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",311,65,30.59,2.21,14.5,0,17.69,9,1,3962,1819,177,496,0,1470
2011,8,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",843,293,95.15,18.53,126.11,0,53.22,53,3,17735,6271,1485,6433,0,3546
2011,8,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope",120,35,16.9,1,4.24,0,12.86,0,1,1312,617,50,124,0,521
2011,8,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",267,75,24.2,2.34,35.89,0,12.56,9,2,3165,1121,173,1226,0,645
2011,8,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",93,25,11.45,0,9.31,0,4.24,1,0,1036,453,0,322,0,261
2011,8,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",208,47,19.58,1.52,13.48,0,12.43,20,0,2144,1080,35,407,0,622
2011,8,AA,American Airlines Inc.,CMH,"Columbus, OH: Port Columbus International",142,36,19.2,0,9.57,0,7.23,3,1,1603,1109,0,228,0,266
2011,8,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",155,29,16.89,0.85,1.01,0,10.26,2,0,1267,685,77,47,0,458
2011,8,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",61,15,11.02,0,1.2,0,2.78,1,1,895,494,0,52,0,349
2011,8,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",901,268,79.04,21.82,107.85,0,59.3,48,20,13727,3572,1261,5044,0,3850
2011,8,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",441,106,54.72,4.07,24.85,0,22.36,6,2,5929,3550,259,811,0,1309
2011,8,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13629,1642,527.49,91.81,287.48,3.43,731.79,344,21,104932,42599,5665,10289,333,46046
2011,8,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",231,57,23.17,3.44,18.38,0,12.01,1,1,2644,1305,208,458,0,673
2011,8,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",31,12,5.65,0,0.78,0,5.57,0,0,602,275,0,36,0,291
2011,8,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",245,50,25.38,1.66,4.93,0,18.03,3,1,2926,1425,65,153,0,1283
2011,8,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",385,123,26.43,4.99,70.38,0,21.2,37,7,8134,1786,540,3959,0,1849
2011,8,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",62,11,6.72,0,1.57,0,2.71,0,0,503,323,0,54,0,126
2011,8,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",283,72,31.74,2.52,26.59,0,11.15,8,0,3737,1689,257,975,0,816
2011,8,AA,American Airlines Inc.,HNL,"Honolulu, HI: Honolulu International",212,57,39.46,0.85,9.36,0,7.32,0,0,5205,3968,51,325,0,861
2011,8,AA,American Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",89,22,12.16,0,4.54,0,5.3,4,0,1109,747,0,115,0,247
2011,8,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",309,74,21.76,1.59,30.32,0,20.33,12,2,3414,1283,101,1018,0,1012
2011,8,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",275,48,20.06,5.38,6.92,0,15.65,7,0,2159,797,329,203,0,830
2011,8,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Mid-Continent",120,28,14.66,1,5.48,0,6.86,4,1,1114,605,23,163,0,323
2011,8,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",151,28,14.33,1.28,7.46,0,4.92,1,0,1331,928,34,200,0,169
2011,8,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",37,12,6.77,0,1.63,0,3.59,0,0,723,392,0,67,0,264
2011,8,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",123,28,14.69,2.36,6.05,0,4.9,1,1,1152,530,161,160,0,301
2011,8,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1246,341,87.72,16.88,168.36,0.25,67.8,103,14,25713,7628,1262,10679,7,6137
2011,8,AA,American Airlines Inc.,KOA,"Kona, HI: Kona International Airport at Keahole",31,3,2.21,0,0.09,0,0.7,0,0,226,104,0,14,0,108
2011,8,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",797,157,66.69,14.16,36.02,0,40.14,12,1,8846,3915,1004,1501,0,2426
2011,8,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2558,535,186.32,39.43,137.81,0.54,170.9,56,7,32455,11777,2711,5847,13,12107
2011,8,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1389,381,98.39,18.85,192.78,0,70.98,119,22,25489,5030,1331,14397,0,4731
2011,8,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",57,13,4.38,0,6.29,0,2.32,0,0,781,439,0,179,0,163
2011,8,AA,American Airlines Inc.,LIT,"Little Rock, AR: Adams Field",93,14,7.7,0,2.57,0,3.74,1,1,525,309,0,65,0,151
2011,8,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",367,77,28.91,4.73,16.03,0,27.33,5,2,4489,1522,309,680,0,1978
2011,8,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",820,237,94.45,20.95,71.98,0.95,48.67,23,6,13093,5177,1628,2614,82,3592
2011,8,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",120,18,12.88,0,3.18,0,1.94,11,0,954,722,0,125,0,107
2011,8,AA,American Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",124,17,6.8,0,2.07,0,8.13,12,1,611,263,0,52,0,296
2011,8,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3842,954,276.07,92.12,277.24,0,308.57,212,24,57316,18840,5945,11569,0,20962
2011,8,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",93,15,6.96,0,2.45,0,5.59,0,0,938,458,0,57,0,423
2011,8,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",333,79,34.23,3.64,20.72,0,20.41,3,0,4610,1816,304,786,0,1704
2011,8,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",349,68,27.85,8.43,11.19,0,20.53,11,0,3615,1399,425,412,0,1379
2011,8,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",93,17,8.37,0,5.53,0,3.1,0,0,1025,664,0,138,0,223
2011,8,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",217,53,31.89,0.65,7.62,0,12.84,1,0,2347,1357,24,255,0,711
2011,8,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",151,38,19.56,1.46,8.6,0,8.38,2,1,2013,1321,43,231,0,418
