airport_code,airport_name,enplanements,year
ATL,Hartsfield - Jackson Atlanta International,44414121,2011
ORD,Chicago O'Hare International,31892301,2011
LAX,Los Angeles International,30528737,2011
DFW,Dallas/Fort Worth International,27518358,2011
DEN,Denver International,25667499,2011
JFK,John F Kennedy International,23664832,2011
SFO,San Francisco International,20056568,2011
LAS,McCarran International,19872617,2011
PHX,Phoenix Sky Harbor International,19750306,2011
IAH,George Bush Intercontinental/Houston,19306660,2011
CLT,Charlotte/Douglas International,19022535,2011
MIA,Miami International,18342158,2011
MCO,Orlando International,17250415,2011
EWR,Newark Liberty International,16814092,2011
SEA,Seattle-Tacoma International,15971676,2011
MSP,Minneapolis-St Paul International/Wold-Chamberlain,15895653,2011
DTW,Detroit Metropolitan Wayne County,15716865,2011
PHL,Philadelphia International,14883180,2011
BOS,General Edward Lawrence Logan International,14180730,2011
LGA,La Guardia,11989227,2011
FLL,Fort Lauderdale/Hollywood International,11332466,2011
BWI,Baltimore/Washington International Thurgood Marshall,11067319,2011
IAD,Washington Dulles International,11044383,2011
SLC,Salt Lake City International,9701756,2011
MDW,Chicago Midway International,9134576,2011
DCA,Ronald Reagan Washington National,9053004,2011
HNL,Honolulu International,8689699,2011
SAN,San Diego International,8465683,2011
TPA,Tampa International,8174194,2011
PDX,Portland International,6808486,2011
STL,Lambert-St Louis International,6159090,2011
MCI,Kansas City International,5011000,2011
HOU,William P Hobby,4753554,2011
BNA,Nashville International,4673047,2011
MKE,General Mitchell International,4671976,2011
OAK,Metropolitan Oakland International,4550526,2011
RDU,Raleigh-Durham International,4462508,2011
AUS,Austin-Bergstrom International,4436661,2011
CLE,Cleveland-Hopkins International,4401033,2011
SMF,Sacramento International,4370895,2011
MEM,Memphis International,4344213,2011
MSY,Louis Armstrong New Orleans International,4255411,2011
SNA,John Wayne Airport-Orange County,4247802,2011
SJC,Norman Y. Mineta San Jose International,4108006,2011
PIT,Pittsburgh International,4070614,2011
SAT,San Antonio International,3992304,2011
SJU,Luis Munoz Marin International,3983130,2011
DAL,Dallas Love Field,3852886,2011
RSW,Southwest Florida International,3748366,2011
IND,Indianapolis International,3670396,2011
CVG,Cincinnati/Northern Kentucky International,3422466,2011
CMH,Port Columbus International,3134379,2011
PBI,Palm Beach International,2877158,2011
BDL,Bradley International,2772315,2011
ABQ,Albuquerque International Sunport,2768435,2011
JAX,Jacksonville International,2700514,2011
OGG,Kahului,2683933,2011
BUF,Buffalo Niagara International,2582597,2011
ANC,Ted Stevens Anchorage International,2354987,2011
ONT,Ontario International,2271458,2011
BUR,Bob Hope,2144915,2011
OMA,Eppley Airfield,2047055,2011
PVD,Theodore Francis Green State,1920699,2011
RNO,Reno/Tahoe International,1821051,2011
TUS,Tucson International,1779679,2011
OKC,Will Rogers World,1738438,2011
SDF,Louisville International-Standiford Field,1650707,2011
ORF,Norfolk International,1606695,2011
RIC,Richmond International,1571155,2011
LGB,Long Beach /Daugherty Field/,1512212,2011
GEG,Spokane International,1487913,2011
ELP,El Paso International,1458965,2011
BHM,Birmingham-Shuttlesworth International,1429282,2011
BOI,Boise Air Terminal/Gowen Field,1395554,2011
GUM,Guam International,1369586,2011
TUL,Tulsa International,1346122,2011
MHT,Manchester,1342308,2011
KOA,Kona International at Keahole,1295389,2011
CHS,Charleston AFB/International,1247459,2011
DAY,James M Cox Dayton International,1247333,2011
ALB,Albany International,1216626,2011
LIH,Lihue,1203525,2011
ROC,Greater Rochester International,1190967,2011
GRR,Gerald R. Ford International,1126552,2011
LIT,Adams Field,1063673,2011
SYR,Syracuse Hancock International,982709,2011
HPN,Westchester County,972385,2011
DSM,Des Moines International,932828,2011
GSO,Piedmont Triad International,894290,2011
GSP,Greenville Spartanburg International,880994,2011
MYR,Myrtle Beach International,848230,2011
TYS,McGhee Tyson,841237,2011
PWM,Portland International Jetport,833005,2011
COS,City of Colorado Springs Municipal,828516,2011
CAK,Akron-Canton Regional,814243,2011
SAV,Savannah/Hilton Head International,785251,2011
ISP,Long Island MacArthur,781396,2011
SFB,Orlando Sanford International,768938,2011
PSP,Palm Springs International,759510,2011
PNS,Pensacola Gulf Coast Regional,750190,2011
MSN,Dane County Regional-Truax Field,741365,2011
ICT,Wichita Mid-Continent,740675,2011
ACY,Atlantic City International,668930,2011
SRQ,Sarasota/Bradenton International,657157,2011
MDT,Harrisburg International,655294,2011
BTV,Burlington International,636019,2011
JAN,Jackson-Evers International,615622,2011
FAT,Fresno Yosemite International,615320,2011
HSV,Huntsville International-Carl T Jones Field,614601,2011
ITO,Hilo International,605251,2011
STT,Cyril E King,596832,2011
XNA,Northwest Arkansas Regional,538850,2011
LEX,Blue Grass,533952,2011
IWA,Phoenix-Mesa Gateway,521437,2011
PHF,Newport News/Williamsburg International,516789,2011
BLI,Bellingham International,515402,2011
LBB,Lubbock Preston Smith International,503580,2011
CAE,Columbia Metropolitan,487474,2011
MAF,Midland International,474423,2011
FNT,Bishop International,473113,2011
FAI,Fairbanks International,438188,2011
VPS,Eglin AFB,434455,2011
CID,The Eastern Iowa,431874,2011
ABE,Lehigh Valley International,428332,2011
FSD,Joe Foss Field,423288,2011
ECP,Northwest Florida Beaches International,417902,2011
PIE,St Petersburg-Clearwater International,417223,2011
MLI,Quad City International,412470,2011
BIL,Billings Logan International,407375,2011
BZN,Bozeman Yellowstone International,397870,2011
BTR,"Baton Rouge Metropolitan, Ryan Field",396403,2011
GPT,Gulfport-Biloxi International,395350,2011
ILM,Wilmington International,395156,2011
EUG,Mahlon Sweet Field,393504,2011
AMA,Rick Husband Amarillo International,392815,2011
BGR,Bangor International,391597,2011
GSN,Francisco C. Ada/Saipan International,382386,2011
SBA,Santa Barbara Municipal,367328,2011
AVL,Asheville Regional,361617,2011
HRL,Valley International,359166,2011
JNU,Juneau International,355499,2011
GRB,Austin Straubel International,352157,2011
SGF,Springfield-Branson National,349091,2011
FAR,Hector International,346459,2011
EYW,Key West International,335603,2011
MFE,McAllen Miller International,332706,2011
GCN,Grand Canyon National Park,331924,2011
PSC,Tri-Cities,327008,2011
CRP,Corpus Christi International,322903,2011
ROA,Roanoke Regional/Woodrum Field,320961,2011
TLH,Tallahassee Regional,305686,2011
SBN,South Bend,305386,2011
CHA,Lovell Field,304399,2011
MFR,Rogue Valley International - Medford,301742,2011
MSO,Missoula International,292501,2011
MOB,Mobile Regional,288461,2011
BMI,Central IL Regional Airport at Bloomington-Normal,284852,2011
CRW,Yeager,282704,2011
JAC,Jackson Hole,279065,2011
DAB,Daytona Beach International,274166,2011
FWA,Fort Wayne International,272796,2011
AGS,Augusta Regional at Bush Field,267631,2011
SHV,Shreveport Regional,265104,2011
FAY,Fayetteville Regional/Grannis Field,259445,2011
RAP,Rapid City Regional,254292,2011
PIA,General Downing - Peoria International,249898,2011
ATW,Outagamie County Regional,242346,2011
BQN,Rafael Hernandez,230556,2011
RDM,Roberts Field,230395,2011
AVP,Wilkes-Barre/Scranton International,228367,2011
LFT,Lafayette Regional,222795,2011
ASE,Aspen-Pitkin County/Sardy Field,221256,2011
TRI,Tri-Cities Regional TN/VA,220586,2011
GRK,Robert Gray AAF,219753,2011
GJT,Grand Junction Regional,217988,2011
CHO,Charlottesville-Albemarle,216957,2011
SWF,Stewart International,209966,2011
MLB,Melbourne International,207829,2011
BIS,Bismarck Municipal,197181,2011
BVU,Boulder City Municipal,190716,2011
EGE,Eagle County Regional,189276,2011
AEX,Alexandria International,188286,2011
MGM,Montgomery Regional (Dannelly Field),188177,2011
LAN,Capital Region International,186341,2011
STX,Henry E Rohlsen,184331,2011
MRY,Monterey Peninsula,181640,2011
GPI,Glacier Park International,179064,2011
GNV,Gainesville Regional,177282,2011
DRO,Durango-La Plata County,175649,2011
TVC,Cherry Capital,170977,2011
OAJ,Albert J Ellis,170118,2011
EVV,Evansville Regional,169426,2011
ACK,Nantucket Memorial,169352,2011
GTF,Great Falls International,168158,2011
ELM,Elmira/Corning Regional,152582,2011
BET,Bethel,152366,2011
MOT,Minot International,151424,2011
IDA,Idaho Falls Regional,149315,2011
AZO,Kalamazoo/Battle Creek International,148634,2011
BFL,Meadows Field,148347,2011
PGD,Punta Gorda,147698,2011
DLH,Duluth International,146620,2011
UNV,University Park,144054,2011
PBG,Plattsburgh International,139698,2011
MBS,MBS International,136594,2011
CWA,Central Wisconsin,135965,2011
LNK,Lincoln,135647,2011
SBP,San Luis County Regional,132692,2011
EWN,Coastal Carolina Regional,124085,2011
ITH,Ithaca Tompkins Regional,121733,2011
GFK,Grand Forks International,118872,2011
IFP,Laughlin/Bullhead International,113280,2011
ERI,Erie International/Tom Ridge Field,112749,2011
HTS,Tri-State/Milton J. Ferguson Field,112522,2011
RST,Rochester International,110295,2011
BGM,Greater Binghamton/Edwin A Link Field,108172,2011
MLU,Monroe Regional,107290,2011
HDN,Yampa Valley,106534,2011
LSE,La Crosse Municipal,102958,2011
RFD,Chicago/Rockford International,102559,2011
STS,Charles M. Schulz - Sonoma County,102414,2011
KTN,Ketchikan International,102086,2011
LRD,Laredo International,101780,2011
HLN,Helena Regional,100695,2011
HYA,Barnstable Municipal-Boardman/Polando Field,100596,2011
IAG,Niagara Falls International,98982,2011
PSE,Mercedita,95658,2011
ENA,Kenai Municipal,90806,2011
MTJ,Montrose Regional,87228,2011
BRO,Brownsville/South Padre Island International,85244,2011
FSM,Fort Smith Regional,84136,2011
CMI,University of Illinois-Willard,83731,2011
NYL,Yuma MCAS/Yuma International,82420,2011
MKK,Molokai,82136,2011
ADQ,Kodiak,81149,2011
TOL,Toledo Express,81127,2011
ABI,Abilene Regional,80434,2011
CSG,Columbus Metropolitan,78718,2011
CPR,Casper/Natrona County International,77758,2011
LYH,Lynchburg Regional/Preston Glenn Field,73821,2011
TYR,Tyler Pounds Regional,72602,2011
SBY,Salisbury-Ocean City Wicomico Regional,72568,2011
SPI,Abraham Lincoln Capital,71862,2011
CLL,Easterwood Field,71555,2011
1G4,Grand Canyon West,71316,2011
ACV,Arcata,70455,2011
FLO,Florence Regional,68169,2011
SIT,Sitka Rocky Gutierrez,65193,2011
LAW,Lawton-Fort Sill Regional,63909,2011
LWS,Lewiston-Nez Perce County,62845,2011
OTZ,Ralph Wien Memorial,62738,2011
PGV,Pitt-Greenville,62071,2011
LCH,Lake Charles Regional,61325,2011
ACT,Waco Regional,61164,2011
HXD,Hilton Head,61006,2011
FLG,Flagstaff Pulliam,60831,2011
OME,Nome,58892,2011
MHK,Manhattan Regional,58672,2011
SCK,Stockton Metropolitan,56044,2011
YKM,Yakima Air Terminal/McAllister Field,55902,2011
VQS,Antonio Rivera Rodriguez,55647,2011
SJT,San Angelo Regional/Mathis Field,54955,2011
SAW,Sawyer International,52326,2011
EAT,Pangborn Memorial,50927,2011
SUN,Friedman Memorial,50885,2011
MVY,Marthas Vineyard,49095,2011
SGU,St George Municipal,48582,2011
GRI,Central Nebraska Regional,47167,2011
DHN,Dothan Regional,46388,2011
CRQ,McClellan-Palomar,45518,2011
PPG,Pago Pago International,45486,2011
FNL,Fort Collins-Loveland Municipal,44999,2011
LNY,Lanai,43596,2011
SAF,Santa Fe Municipal,43329,2011
UTA,Tunica Municipal,41670,2011
SMX,Santa Maria Public/Capt G Allan Hancock Field,41620,2011
BRW,Wiley Post-Will Rogers Memorial,41083,2011
COU,Columbia Regional,40990,2011
AKN,King Salmon,40345,2011
HVN,Tweed-New Haven,40074,2011
PUW,Pullman/Moscow Regional,39134,2011
TWF,Joslin Field - Magic Valley Regional,38533,2011
