year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Column
2003,6,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1266.0,225.0,69.43,23.66,83.93,2.25,45.73,7.0,0.0,12139.0,4201.0,1783.0,3067.0,45.0,3043.0,
2003,6,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",203.0,48.0,16.57,9.72,10.07,1.87,9.76,4.0,0.0,3048.0,968.0,742.0,558.0,127.0,653.0,
2003,6,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",947.0,147.0,42.88,24.89,52.71,0.08,26.44,5.0,2.0,7868.0,2048.0,1484.0,2767.0,3.0,1566.0,
2003,6,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",750.0,157.0,42.66,19.38,70.31,0.63,24.01,1.0,1.0,7446.0,2098.0,1193.0,2780.0,46.0,1329.0,
2003,6,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12276.0,2144.0,392.85,66.72,1070.37,13.55,600.51,153.0,66.0,117195.0,31999.0,4787.0,43864.0,459.0,36086.0,
2003,6,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",658.0,146.0,40.18,10.05,71.19,0.5,24.09,1.0,0.0,6181.0,1765.0,481.0,2318.0,18.0,1599.0,
2003,6,AA,American Airlines Inc.,HOU,"Houston, TX: William P Hobby",102.0,24.0,3.86,0.58,12.35,0.0,7.21,2.0,0.0,1427.0,200.0,97.0,557.0,0.0,573.0,
2003,6,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",445.0,76.0,17.58,15.86,32.62,0.0,9.94,2.0,3.0,3661.0,997.0,759.0,1225.0,0.0,680.0,
2003,6,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1147.0,212.0,60.92,14.66,95.21,6.86,34.35,5.0,4.0,10785.0,3496.0,1157.0,3596.0,203.0,2333.0,
2003,6,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",765.0,186.0,59.71,22.41,65.79,5.37,32.73,5.0,0.0,8904.0,3100.0,1424.0,2442.0,168.0,1770.0,
2003,6,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2462.0,533.0,155.25,43.58,223.6,3.75,106.82,9.0,1.0,27823.0,9761.0,2863.0,7404.0,124.0,7671.0,
2003,6,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1896.0,389.0,68.05,38.12,202.82,0.71,79.3,22.0,12.0,23552.0,5301.0,2316.0,10861.0,12.0,5062.0,
2003,6,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1000.0,192.0,54.38,22.59,74.34,0.63,40.06,1.0,1.0,9737.0,3134.0,1462.0,2613.0,12.0,2516.0,
2003,6,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3120.0,723.0,146.14,53.18,390.58,1.84,131.26,20.0,13.0,35978.0,7978.0,3083.0,16535.0,66.0,8316.0,
2003,6,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",7628.0,1309.0,225.53,48.83,763.26,9.15,262.23,41.0,14.0,72172.0,19608.0,3440.0,34502.0,403.0,14219.0,
